category_id,name
1,accessories
2,aline
3,ankle_boots
4,backless
5,bags
6,basics
7,beachdresses
8,belt
9,biker
10,blazers
11,blazersuits
12,blouses
13,bodiescorsets
14,bodycon
15,bodys
16,bootcut
17,caps
18,cardigans
19,cargo
20,casual
21,chinos
22,coats
23,corsetsbustier
24,croppedtops
25,culottes
26,curvy
27,denim
28,dressed
29,dresses
30,fitted
31,flare
32,gloves
33,hats
34,highwaisted
35,hoodies
36,jackets
37,jeans
38,jewellery
39,joggers
40,jumpers
41,jumpsuits
42,kaftan
43,knitted
44,leggings
45,linentrousers
46,loafers
47,long
48,longskirts
49,longsleeve
50,loose
51,lowcut
52,men
53,nightwear
54,oneshoulder
55,outerwear
56,oversized
57,parkas
58,party
59,pleated
60,polo
61,printed
62,puffer
63,pyjamas
64,regular
65,relaxed
66,ripped
67,scarves
68,shirts
69,shoes
70,shorts
71,shortsleeve
72,skinny
73,skirts
74,slacks
75,slim 
76,slimfit
77,sportwear
78,straight
79,sweatshirts
80,swimwear
81,tanks
82,tops
83,trousers
84,tshirts
85,turtleneck
86,vests
87,waistcoats
88,wide
89,wideleg
90,woman
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
